,Player,ShortName,Height,Weight,Position,BirthPlace,SeasonURL,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
99,Alex Abrines,abrinal01,6-6,190lb,Shooting Guard,Spain,/players/a/abrinal01/gamelog/2019/,2018-19,25.0,OKC,NBA,SG,11.0,0.0,22.6,2.5,6.6,0.37,1.6,5.0,0.327,0.8,1.6,0.5,0.493,0.5,0.6,0.857,0.2,1.5,1.6,0.8,0.8,0.3,0.5,1.8,7.1
187,Steven Adams,adamsst01,7-0,255lb,Center,New Zealand,/players/a/adamsst01/gamelog/2019/,2018-19,25.0,OKC,NBA,C,10.0,10.0,33.4,5.6,9.7,0.5770000000000001,0.0,0.0,,5.6,9.7,0.5770000000000001,0.5770000000000001,2.8,5.3,0.528,4.7,5.8,10.5,1.6,1.6,1.2,1.5,2.4,14.0
197,Bam Adebayo,adebaba01,6-10,243lb,Center,New Jersey,/players/a/adebaba01/gamelog/2019/,2018-19,21.0,MIA,NBA,C,10.0,1.0,19.6,2.3,4.5,0.511,0.0,0.2,0.0,2.3,4.3,0.535,0.511,2.1,2.9,0.7240000000000001,2.2,4.3,6.5,1.1,0.7,0.6,1.2,2.6,6.7
331,LaMarcus Aldridge,aldrila01,6-11,260lb,Center and Power Forward,Texas,/players/a/aldrila01/gamelog/2019/,2018-19,33.0,SAS,NBA,C,10.0,10.0,35.6,7.3,17.1,0.4270000000000001,0.0,0.5,0.0,7.3,16.6,0.44,0.4270000000000001,4.0,5.2,0.769,3.9,5.9,9.8,3.1,0.4,1.1,1.8,2.0,18.6
378,Jarrett Allen,allenja01,6-10,234lb,Center,Texas,/players/a/allenja01/gamelog/2019/,2018-19,20.0,BRK,NBA,C,11.0,11.0,26.3,4.5,7.5,0.61,0.2,0.8,0.222,4.4,6.6,0.6579999999999999,0.622,2.0,3.3,0.611,2.3,5.5,7.8,1.8,0.5,1.8,1.4,1.9,11.3
514,Al-Farouq Aminu,aminual01,6-9,220lb,Small Forward and Power Forward,Georgia,/players/a/aminual01/gamelog/2019/,2018-19,28.0,POR,NBA,PF,12.0,12.0,28.8,2.8,6.7,0.413,1.1,3.2,0.342,1.7,3.5,0.476,0.494,1.7,1.8,0.909,1.3,7.3,8.7,0.4,0.9,0.4,0.6,2.6,8.3
681,Kyle Anderson,anderky01,6-9,230lb,Small Forward,New York,/players/a/anderky01/gamelog/2019/,2018-19,25.0,MEM,NBA,SF,10.0,7.0,25.7,2.1,5.0,0.42,0.1,0.4,0.25,2.0,4.6,0.435,0.43,1.1,1.9,0.579,1.0,4.5,5.5,2.2,1.4,0.3,1.5,1.7,5.4
733,Ryan Anderson,anderry01,6-10,240lb,Power Forward,California,/players/a/anderry01/gamelog/2019/,2018-19,30.0,PHO,NBA,PF,11.0,8.0,21.6,1.6,5.0,0.327,0.6,2.7,0.233,1.0,2.3,0.44,0.391,1.0,1.3,0.7859999999999999,1.1,2.5,3.5,1.5,0.3,0.0,0.9,1.6,4.9
767,Ike Anigbogu,anigbik01,6-10,252lb,Center,California,/players/a/anigbik01/gamelog/2019/,2018-19,20.0,IND,NBA,C,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
784,Giannis Antetokounmpo,antetgi01,6-11,222lb,Small Forward and Shooting Guard and Power Forward and Point Guard,Greece,/players/a/antetgi01/gamelog/2019/,2018-19,24.0,MIL,NBA,PF,10.0,10.0,31.4,9.9,18.5,0.535,0.2,2.3,0.087,9.7,16.2,0.599,0.541,5.6,7.6,0.737,2.7,10.2,12.9,5.7,1.0,1.3,4.7,3.4,25.6
805,Carmelo Anthony,anthoca01,6-8,240lb,Power Forward and Small Forward,New York,/players/a/anthoca01/gamelog/2019/,2018-19,34.0,HOU,NBA,PF,10.0,2.0,29.4,4.9,12.1,0.405,2.1,6.4,0.328,2.8,5.7,0.491,0.4920000000000001,1.5,2.2,0.682,0.9,4.5,5.4,0.5,0.4,0.7,0.8,3.2,13.4
838,OG Anunoby,anunoog01,6-8,232lb,Small Forward,United Kingdom,/players/a/anunoog01/gamelog/2019/,2018-19,21.0,TOR,NBA,SF,9.0,3.0,23.9,3.4,7.4,0.463,1.2,3.7,0.333,2.2,3.8,0.588,0.545,0.0,0.1,0.0,0.8,2.2,3.0,0.6,0.7,0.2,0.6,2.8,8.1
869,Ryan Arcidiacono,arcidry01,6-3,188lb,Point Guard,Pennsylvania,/players/a/arcidry01/gamelog/2019/,2018-19,24.0,CHI,NBA,PG,11.0,0.0,24.5,2.1,4.2,0.5,1.5,2.9,0.5,0.6,1.3,0.5,0.674,0.6,0.8,0.778,0.1,1.5,1.6,4.6,0.9,0.1,0.8,2.1,6.3
914,Trevor Ariza,arizatr01,6-8,215lb,Small Forward and Shooting Guard,Florida,/players/a/arizatr01/gamelog/2019/,2018-19,33.0,PHO,NBA,SF,11.0,11.0,34.0,3.4,8.9,0.378,2.0,5.5,0.361,1.4,3.4,0.405,0.49,1.8,2.0,0.909,0.5,5.4,5.9,3.7,0.7,0.3,1.8,1.6,10.5
1137,D.J. Augustin,augusdj01,6-0,183lb,Point Guard,Louisiana,/players/a/augusdj01/gamelog/2019/,2018-19,31.0,ORL,NBA,PG,11.0,11.0,27.3,3.4,7.9,0.425,1.5,3.7,0.415,1.8,4.2,0.435,0.523,2.1,2.3,0.92,0.9,1.6,2.5,4.9,0.5,0.0,1.0,1.2,10.4
1235,Dwayne Bacon,bacondw01,6-6,222lb,Shooting Guard,Florida,/players/b/bacondw01/gamelog/2019/,2018-19,23.0,CHO,NBA,SG,4.0,0.0,7.0,1.0,2.0,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.625,1.5,1.5,1.0,0.0,0.8,0.8,0.8,0.3,0.0,0.0,0.5,4.0
1316,Ron Baker,bakerro01,6-4,220lb,Shooting Guard,Kansas,/players/b/bakerro01/gamelog/2019/,2018-19,25.0,NYK,NBA,SG,7.0,0.0,11.6,0.1,1.6,0.091,0.0,1.1,0.0,0.1,0.4,0.333,0.091,0.4,0.6,0.75,0.0,0.6,0.6,1.0,0.4,0.0,0.3,1.9,0.7
1338,Wade Baldwin,baldwwa01,6-4,202lb,Point Guard,New Jersey,/players/b/baldwwa01/gamelog/2019/,2018-19,22.0,POR,NBA,PG,3.0,0.0,5.0,0.0,1.7,0.0,0.0,0.7,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.7,0.0,0.0,1.0,0.3,0.0
1352,Lonzo Ball,balllo01,6-6,190lb,Point Guard,California,/players/b/balllo01/gamelog/2019/,2018-19,21.0,LAL,NBA,PG,11.0,9.0,26.1,3.4,7.6,0.44,1.7,4.5,0.388,1.6,3.2,0.514,0.5539999999999999,0.5,1.0,0.545,0.8,4.0,4.8,4.5,1.3,0.0,1.6,1.9,9.0
1449,J.J. Barea,bareajo01,6-0,185lb,Point Guard and Shooting Guard,Puerto Rico,/players/b/bareajo01/gamelog/2019/,2018-19,34.0,DAL,NBA,PG,11.0,0.0,18.0,2.8,8.9,0.316,0.6,2.9,0.219,2.2,6.0,0.364,0.35200000000000004,1.5,2.0,0.727,0.5,1.5,2.0,6.0,0.5,0.0,1.5,1.7,7.7
1503,Harrison Barnes,barneha02,6-8,210lb,Power Forward and Small Forward,Iowa,/players/b/barneha02/gamelog/2019/,2018-19,26.0,DAL,NBA,SF,7.0,7.0,32.4,5.1,14.3,0.36,1.7,5.3,0.324,3.4,9.0,0.381,0.42,3.0,3.9,0.778,0.9,4.6,5.4,1.4,0.9,0.3,2.0,2.6,15.0
1730,Will Barton,bartowi01,6-6,175lb,Shooting Guard,Maryland,/players/b/bartowi01/gamelog/2019/,2018-19,28.0,DEN,NBA,SG,2.0,2.0,27.0,6.0,10.5,0.5710000000000001,2.5,4.5,0.556,3.5,6.0,0.583,0.69,2.0,2.0,1.0,0.0,5.0,5.0,3.0,0.5,1.0,1.5,2.5,16.5
